Grapheme	IPA	SCA	Frequency
^a	a	A	31
^b	b	P	26
^d	d	T	7
^e̞	e̞	E	2
^g	g	K	43
^j	j	J	46
^l	l	L	8
^m	m	M	43
^n	n	N	32
^w	w	W	18
^ŋ	ŋ	N	37
^ɹ	ɹ	R	5
_	+	_	4
a	a	A	259
a$	a	A	109
b	b	P	85
b$	b	P	2
d	d	T	60
d$	d	T	5
e̞	e̞	E	66
g	g	K	100
g$	g	K	1
gg	gː	K	1
j	j	J	106
j$	j	J	2
l	l	L	89
l$	l	L	12
m	m	M	42
n	n	N	141
n$	n	N	19
nh	nh/n̥	N	1
nn	nn/nː	N	1
r	r	R	61
r$	r	R	16
rw	r w	R W	3
w	w	W	19
ŋ	ŋ	N	51
ŋ$	ŋ	N	1
ŋw	ŋw/ŋʷ	N	1
ɟ	ɟ	C	16
ɪ	ɪ	I	145
ɪ$	ɪ	I	81
ɭ	ɭ	L	38
ɭ$	ɭ	L	1
ɯ̞	ɯ̞	I	183
ɯ̞$	ɯ̞	I	48
ɳ	ɳ	N	27
ɹ	ɹ	R	51
ɹ$	ɹ	R	1
