Grapheme	IPA	SCA	Frequency
^a	a	A	9
^b	b	P	19
^d	d	T	4
^e	e	E	7
^g	g	K	4
^h	h	H	34
^i	i	I	35
^j	j	J	8
^k	k	K	10
^kʼ	kʼ	K	5
^l	l	L	1
^m	m	M	18
^n	n	N	12
^o	o	U	2
^p	p	P	4
^q	q	K	6
^qʼ	qʼ	K	8
^r	r	R	1
^s	s	S	9
^t	t	T	14
^ts	ts	C	5
^tʃ	tʃ	T	3
^tʃʼ	tʃʼ	T	2
^tʼ	tʼ	T	3
^tʼsʼ	tsʼ	T	5
^u	u	Y	10
^w	w	W	3
^z	z	S	3
^ã	ã	A	4
^æ	æ	E	5
^æ̃	æ̃	E	5
^õ	õ	U	1
^ø	ø	U	8
^ø̃	ø̃	U	1
^ĩ	ĩ	I	4
^ũ	ũ	Y	1
^ɬ	ɬ	L	5
^ʃ	ʃ	S	3
^ʒ	ʒ	S	1
^ʔ	ʔ	H	1
^ʔ$	ʔ	H	1
^χ	χ	G	8
^ẽ	ẽ	E	5
_	+	_	24
a	a	A	63
a$	a	A	36
aa	aː	A	1
aa$	aː	A	9
b	b	P	12
b$	b	P	8
d	d	T	22
d$	d	T	5
dd	dː	T	1
e	e	E	35
e$	e	E	15
g	g	K	7
h	h	H	7
h$	h	H	1
i	i	I	89
i$	i	I	28
j	j	J	28
j$	j	J	2
k	k	K	6
k$	k	K	1
kk	kk/kː	K	1
kʼ	kʼ	K	11
kʼ$	kʼ	K	2
l	l	L	27
l$	l	L	5
ll	ll/lː	L	3
m	m	M	8
m$	m	M	1
mm	mm/mː	M	1
n	n	N	27
n$	n	N	1
o	o	U	59
o$	o	U	84
oo$	oː	U	3
q	q	K	4
q$	q	K	3
qʼ	qʼ	K	18
qʼqʼ	qʼː	K	2
r	r	R	8
s	s	S	19
s$	s	S	24
ss	ss/sː	S	1
t	t	T	23
t$	t	T	2
ts	ts	C	20
ts$	ts	C	1
tʃ	tʃ	T	2
tʃtʃ	tʃtʃ/tʃː	T	1
tʃʼ	tʃʼ	T	2
tʃʼ$	tʃʼ	T	1
tʃʼtʃʼ	tʃʼː	T	4
tʼ	tʼ	T	32
tʼ$	tʼ	T	4
tʼsʼ	tsʼ	T	5
tʼsʼ$	tsʼ	T	3
tʼsʼtʼsʼ	tsʼː	T	4
tʼtʼ	tʼː	T	3
u	u	Y	22
u$	u	Y	1
w	w	W	6
w$	w	W	3
y	y	Y	7
z	z	S	5
ã$	ã	A	1
ãã$	ãː	A	1
æ	æ	E	20
æ$	æ	E	9
ææ	æː	E	1
ææ$	æː	E	5
æ̃	æ̃	E	2
õ	õ	U	2
ø	ø	U	14
ø$	ø	U	17
ø̃	ø̃	U	2
ĩ$	ĩ	I	1
ũ	ũ	Y	3
ɬ	ɬ	L	28
ɬ$	ɬ	L	5
ɬʼ	ɬʼ	L	18
ɬʼ$	ɬʼ	L	2
ʁ	ʁ	R	10
ʁ$	ʁ	R	3
ʃ	ʃ	S	5
ʃ$	ʃ	S	1
ʃʃ	ʃʃ/ʃː	S	3
ʒ	ʒ	S	5
ʔ	ʔ	H	6
ʔ$	ʔ	H	3
χ	χ	G	8
χ$	χ	G	4
ẽ	ẽ	E	2
ẽ$	ẽ	E	1
ỹ	ỹ	Y	1
