Grapheme	IPA	SCA	Frequency
^a	a	A	5
^b	b	P	13
^dʒ	dʒ	T	7
^d̪	d̪	T	23
^h	h	H	10
^i	i	I	11
^ii	iː	I	1
^j	j	J	4
^k	k	K	18
^m	m	M	25
^n	n	N	4
^p	p	P	17
^p$	p	P	1
^s	s	S	5
^t	t	T	19
^tʃ	tʃ	T	23
^u	u	Y	3
^ũ	ũ	Y	1
^ɔ$	ɔ	U	1
^ɛ	ɛ	E	4
^ɨ	ɨ	I	3
^ɲ	ɲ	N	17
^ɾ	ɾ	R	18
^ɾ$	ɾ	R	1
^β	β	B	34
_	+	_	11
a	a	A	149
a$	a	A	60
aa	aː	A	4
b	b	P	9
dʒ	dʒ	T	17
d̪	d̪	T	13
h	h	H	40
i	i	I	72
i$	i	I	29
k	k	K	55
k$	k	K	4
m	m	M	29
n	n	N	11
n$	n	N	1
p	p	P	23
r	r	R	1
s	s	S	7
t	t	T	38
tʃ	tʃ	T	36
u	u	Y	35
u$	u	Y	12
uu	uː	Y	1
w	w	W	2
ã	ã	A	12
ã$	ã	A	2
ãã	ãː	A	1
æ	æ	E	23
æ$	æ	E	23
ææ	æː	E	1
ĩ	ĩ	I	1
ĩ$	ĩ	I	1
ɔ	ɔ	U	53
ɔ$	ɔ	U	30
ɔ̃	ɔ̃	U	12
ɔ̃$	ɔ̃	U	2
ɛ	ɛ	E	43
ɛ$	ɛ	E	64
ɛ̃$	ɛ̃	E	2
ɨ	ɨ	I	41
ɨ$	ɨ	I	33
ɨɨ	ɨː	I	2
ɨ̃ɨ̃	ɨ̃	I	1
ɲ	ɲ	N	4
ɾ	ɾ	R	94
ɾ$	ɾ	R	1
ʃ	ʃ	S	5
β	β	B	31
β$	β	B	1
