Grapheme	IPA	SCA	Frequency
_$	NULL	NULL	1
^a	a	A	18
^aa	aː	A	9
^b	b	P	13
^c	c	C	5
^d̪	d̪	T	8
^f	f	B	10
^g	g	K	7
^i	i	I	3
^ii	iː	I	1
^j	j	J	7
^k	k	K	18
^l	l	L	10
^m	m	M	18
^n	n	N	5
^p	p	P	8
^r	r	R	2
^s	s	S	4
^t	t	T	10
^t̪	t̪	T	16
^uu$	uː	Y	1
^w	w	W	9
^ŋ	ŋ	N	4
^ɔ	ɔ	U	3
^ɔɔ	ɔː	U	4
^ɖ	ɖ	T	1
^ə	ə	E	8
^əə	əː	E	4
^ɛ	ɛ	E	2
^ɛɛ	ɛː	E	2
^ɟ	ɟ	C	10
^ɲ	ɲ	N	9
_	+	_	11
a	a	A	56
a$	a	A	18
aa	aː	A	42
aa$	aː	A	18
b	b	P	6
d̪	d̪	T	17
d̪$	d̪	T	27
e	e	E	1
f	f	B	4
f$	f	B	3
g	g	K	9
g$	g	K	26
gg	gː	K	4
i	i	I	18
i$	i	I	6
ii	iː	I	3
ii$	iː	I	5
i̪	i̥	I	1
j	j	J	3
k	k	K	1
l	l	L	19
l$	l	L	14
m	m	M	9
m$	m	M	10
ms	m s	M S	1
n	n	N	7
n$	n	N	21
r	r	R	10
r$	r	R	19
s	s	S	11
s$	s	S	4
ss	sː	S	1
t̪	t̪	T	1
u	u	Y	16
u$	u	Y	4
uu	uː	Y	9
uu$	uː	Y	1
w	w	W	11
ð	ð	D	11
ð$	ð	D	10
ŋ	ŋ	N	6
ŋ$	ŋ	N	3
ɔ	ɔ	U	22
ɔ$	ɔ	U	7
ɔɔ	ɔː	U	2
ɔɔ$	ɔː	U	2
ɖ	ɖ	T	3
ə	ə	E	13
ə$	ə	E	5
əə	əː	E	8
əə$	əː	E	3
ɛ	ɛ	E	22
ɛ$	ɛ	E	7
ɛɛ	ɛː	E	12
ɛɛ$	ɛː	E	4
ɟ	ɟ	C	2
ɟ$	ɟ	C	4
ɲ	ɲ	N	2
ɲ$	ɲ	N	6
