Grapheme	IPA	Frequency
^a	a	73
w	w	29
x	x	56
ɨ$	ɨ	92
^w	w	11
ks	k s	1
^m	m	9
a	a	246
ɬ$	ɬ	5
^ɨ	ɨ	3
j	j	23
e	NULL	27
j$	j	10
^kʼ	kʼ	1
xw	xw/xʷ	8
u	u	19
k$	k	27
^g	g	38
ɨ	ɨ	211
^tʼsʼ	tsʼ	15
tʃ	tʃ	16
g	g	45
s	s	36
p$	p	5
^tʼ	tʼ	1
p	p	30
tʼ	tʼ	2
ʔ	ʔ	13
tʼsʼ	tsʼ	6
x$	x	8
n$	n	18
^pʼ	pʼ	3
l	l	46
ts	ts	69
^k	k	31
n	n	63
a$	a	47
^ts	ts	14
ts$	ts	6
^j	j	33
tʃ$	tʃ	13
k	k	56
s$	s	7
^d	d	6
t$	t	7
m	m	40
w$	w	8
^p	p	18
t	t	23
^u	u	5
ws	w s	3
^s	s	10
i	i	1
ɬw	ɬ w	1
u$	u	6
^x	x	9
^t	t	4
_	+	3
l$	l	8
tt	tt/tː	1
b	b	9
ɬ	ɬ	10
^i	i	1
^kw	kw/kʷ	1
m$	m	26
^ɬ	ɬ	1
tsw	ts w	1
kw	kw/kʷ	1
^tʃ	tʃ	2
uu	uː	1
nn	nn/nː	3
^n	n	1
pʼ	pʼ	2
^ms	m s	1
i$	i	1
^ws	w s	1
^b	b	6
e$	e	4
