Grapheme	IPA	SCA	Frequency
_$	NULL	NULL	3
^a	a	A	7
^b	b	P	27
^d	d	T	26
^f	f	B	25
^g	g	K	11
^i	i	I	1
^j	j	J	22
^k	k	K	76
^kw	k w	K W	1
^l	l	L	8
^m	m	M	11
^n	n	N	42
^s	s	S	10
^t	t	T	30
^tʃ	tʃ	T	20
^u	u	Y	1
^w	w	W	7
^z	z	S	3
^ɲ	ɲ	N	2
^ɾ	ɾ	R	8
^ʃ	ʃ	S	5
_	+	_	30
a	a	A	185
a$	a	A	93
aa	aː	A	1
aa$	aː	A	6
b	b	P	23
bb	bː	P	2
d	d	T	50
e̞	e̞	E	44
e̞$	e̞	E	15
f	f	B	12
g	g	K	54
gw	g w	K W	4
i	i	I	69
i$	i	I	51
ii$	iː	I	1
j	j	J	16
k	k	K	39
k$	k	K	3
kk	kː	K	5
l	l	L	41
l$	l	L	9
ll	lː	L	3
m	m	M	40
m$	m	M	18
n	n	N	55
n$	n	N	15
nn	nː	N	2
o$	o	U	1
o̞	o̞	U	41
o̞$	o̞	U	45
p	p	P	1
r	r	R	2
rw	r w	R W	1
s	s	S	26
t	t	T	44
t$	t	T	1
tt	tː	T	6
tʃ	tʃ	T	5
u	u	Y	79
u$	u	Y	31
w	w	W	43
z	z	S	6
ə	ə	E	82
ə$	ə	E	47
ɲ	ɲ	N	4
ɾ	ɾ	R	72
ɾ$	ɾ	R	4
ɾs	ɾ s	R S	1
ɾw	ɾ w	R W	5
ɾɾ	ɾː	R	1
ʃ	ʃ	S	3
