Grapheme	IPA	SCA	Frequency
^a	a	A	22
^c	c	C	3
^d	d	T	8
^g	g	K	5
^i	i	I	3
^j	j	J	2
^k	k	K	19
^l	l	L	6
^m	m	M	14
^n	n	N	4
^p	p	P	42
^s	s	S	9
^t	t	T	29
^u	u	Y	2
^w	w	W	14
^x	x	G	4
^z	z	S	7
^ŋ	ŋ	N	12
^ɓ	ɓ	P	12
^ɔ	ɔ	U	4
^ə	ə	E	2
^ɛ	ɛ	E	2
^ɟ	ɟ	C	3
^ɲ	ɲ	N	8
_	+	_	44
a	a	A	109
a$	a	A	29
b	b	P	1
c	c	C	6
c$	c	C	38
d	d	T	31
d$	d	T	8
dw	d w	T W	4
g	g	K	24
g$	g	K	10
gw	gw/g w	K W	4
i	i	I	55
i$	i	I	14
j	j	J	10
j$	j	J	5
k	k	K	12
k$	k	K	1
kw	kw/k w	K W	1
l	l	L	33
l$	l	L	2
lw	l w	L W	1
m	m	M	5
m$	m	M	1
n	n	N	24
n$	n	N	23
nw	n w	N W	11
o	o	U	2
p	p	P	17
p$	p	P	1
pp	pp/pː	P	2
r	r	R	4
r$	r	R	3
rw	r w	R W	1
s	s	S	20
s$	s	S	10
t	t	T	23
t$	t	T	1
tw	t w	T W	2
u	u	Y	45
u$	u	Y	13
uu	uː	Y	2
w	w	W	15
x	x	G	48
x$	x	G	14
xs	x s	G S	5
z	z	S	1
ŋ	ŋ	N	21
ŋ$	ŋ	N	16
ɓ	ɓ	P	15
ɔ	ɔ	U	45
ɔ$	ɔ	U	6
ɗ	ɗ	T	3
ə	ə	E	108
ə$	ə	E	2
ɛ	ɛ	E	52
ɛ$	ɛ	E	37
ɲ	ɲ	N	7
ɲ$	ɲ	N	2
